"时间","事件类型","关联题目","题目编码","附加信息"
"2026/8/21 03:18:47","启动靶场","D-05 · Azure AAD 身份认证评估","d-05","container_addr: 10.0.179.144:8000"
"2026/8/21 03:21:47","得分成功","D-05 · Azure AAD 身份认证评估","d-05","+400 点"
"2026/8/21 03:22:09","关闭靶场","D-05 · Azure AAD 身份认证评估","d-05",""
"2026/8/21 03:22:27","关闭靶场","C-02 · 智算模型托管引擎","c-02",""
"2026/8/21 03:22:43","启动靶场","F2-02 · 智能终端许可证校验","f2-02","container_addr: 10.0.179.144:9102"
"2026/8/21 03:22:44","启动靶场","F2-07 · 设备序列号校验器","f2-07","container_addr: 10.0.179.146:9107"
"2026/8/21 03:28:15","得分成功","F2-02 · 智能终端许可证校验","f2-02","+400 点"
"2026/8/21 03:28:41","关闭靶场","F2-02 · 智能终端许可证校验","f2-02",""
"2026/8/21 03:28:57","启动靶场","F2-03 · 固件运行时解包模块","f2-03","container_addr: 10.0.179.144:9103"
"2026/8/21 03:29:27","得分成功","F2-07 · 设备序列号校验器","f2-07","+400 点"
"2026/8/21 03:29:53","关闭靶场","F2-07 · 设备序列号校验器","f2-07",""
"2026/8/21 03:30:09","启动靶场","F2-04 · 工业网关命令处理器","f2-04","container_addr: 10.0.179.146:9104"
"2026/8/21 03:33:28","关闭靶场","F2-05 · 嵌入式授权引擎","f2-05",""
"2026/8/21 03:33:28","得分成功","F2-03 · 固件运行时解包模块","f2-03","+300 点"
"2026/8/21 03:33:44","启动靶场","F2-06 · 跨平台授权客户端","f2-06","container_addr: 10.0.179.145:9106"
"2026/8/21 03:33:55","关闭靶场","F2-03 · 固件运行时解包模块","f2-03",""
"2026/8/21 03:34:11","启动靶场","E1-03 · 运维诊断面板评估","e1-03","container_addr: 10.0.179.144:80"
"2026/8/21 03:36:34","得分成功","F2-04 · 工业网关命令处理器","f2-04","+300 点"
"2026/8/21 03:37:07","关闭靶场","F2-04 · 工业网关命令处理器","f2-04",""
"2026/8/21 03:37:23","启动靶场","E1-04 · 边界代理穿透评估","e1-04","container_addr: 10.0.179.146:80"
"2026/8/21 03:39:38","得分成功","E1-04 · 边界代理穿透评估","e1-04","+250 点"
"2026/8/21 03:39:54","关闭靶场","E1-04 · 边界代理穿透评估","e1-04",""
"2026/8/21 03:40:10","启动靶场","E1-06 · API 网关穿透评估","e1-06","container_addr: 10.0.179.146:80"
"2026/8/21 03:41:56","得分成功","E1-03 · 运维诊断面板评估","e1-03","+250 点"
"2026/8/21 03:42:06","得分成功","E1-06 · API 网关穿透评估","e1-06","+250 点"
"2026/8/21 03:42:19","关闭靶场","E1-03 · 运维诊断面板评估","e1-03",""
"2026/8/21 03:42:27","关闭靶场","E1-06 · API 网关穿透评估","e1-06",""
"2026/8/21 03:42:44","启动靶场","E2-02 · 序列化数据处理服务评估","e2-02","container_addr: 10.0.179.144:8000"
"2026/8/21 03:42:44","启动靶场","E2-03 · 在线脚本执行平台逃逸评估","e2-03","container_addr: 10.0.179.146:8000"
"2026/8/21 03:46:00","得分成功","E2-03 · 在线脚本执行平台逃逸评估","e2-03","+250 点"
"2026/8/21 03:46:34","关闭靶场","E2-03 · 在线脚本执行平台逃逸评估","e2-03",""
"2026/8/21 03:46:34","得分成功","E2-02 · 序列化数据处理服务评估","e2-02","+250 点"
"2026/8/21 03:46:49","启动靶场","E2-04 · 第三方沙箱组件评估","e2-04","container_addr: 10.0.179.146:8000"
"2026/8/21 03:47:04","关闭靶场","E2-02 · 序列化数据处理服务评估","e2-02",""
"2026/8/21 03:47:20","启动靶场","E3-02 · 隐蔽数据外带评估","e3-02","container_addr: 10.0.179.144:8000"
"2026/8/21 03:48:20","得分成功","F2-06 · 跨平台授权客户端","f2-06","+300 点"
"2026/8/21 03:48:54","关闭靶场","F2-06 · 跨平台授权客户端","f2-06",""
"2026/8/21 03:49:10","启动靶场","E3-04 · 注入技术对抗评估","e3-04","container_addr: 10.0.179.145:8000"
"2026/8/21 03:49:25","得分成功","E3-02 · 隐蔽数据外带评估","e3-02","+250 点"
"2026/8/21 03:49:58","关闭靶场","E3-02 · 隐蔽数据外带评估","e3-02",""
"2026/8/21 03:49:58","得分成功","E2-04 · 第三方沙箱组件评估","e2-04","+250 点"
"2026/8/21 03:50:14","启动靶场","B-01 · Behind the Firewall","b-01","container_addr: 10.0.179.144:80"
"2026/8/21 03:50:25","关闭靶场","E2-04 · 第三方沙箱组件评估","e2-04",""
"2026/8/21 03:50:41","启动靶场","B-03 · Link Violation","b-03","container_addr: 10.0.179.146:80"
"2026/8/21 04:00:44","得分成功","B-03 · Link Violation","b-03","+300 点"
"2026/8/21 04:09:43","关闭靶场","E3-04 · 注入技术对抗评估","e3-04",""
"2026/8/21 04:09:59","启动靶场","B-02 · Layer Breach","b-02","container_addr: 10.0.179.145:80"
"2026/8/21 04:25:49","得分成功","B-03 · Link Violation","b-03","+300 点"
"2026/8/21 04:26:05","得分成功","B-02 · Layer Breach","b-02","+300 点"
"2026/8/21 04:26:15","得分成功","B-02 · Layer Breach","b-02","+300 点"
"2026/8/21 04:43:54","得分成功","B-01 · Behind the Firewall","b-01","+300 点"
"2026/8/21 05:14:35","关闭靶场","B-01 · Behind the Firewall","b-01",""
"2026/8/21 05:14:51","启动靶场","A-05 · 合同审批系统","a-05","container_addr: 10.0.179.144:80"
"2026/8/21 05:15:02","关闭靶场","B-03 · Link Violation","b-03",""
"2026/8/21 05:15:17","启动靶场","C-03 · 大模型业务集成门户","c-03","container_addr: 10.0.179.146:3000"
"2026/8/21 05:21:04","得分成功","A-05 · 合同审批系统","a-05","+100 点"
"2026/8/21 05:21:21","关闭靶场","A-05 · 合同审批系统","a-05",""
"2026/8/21 05:21:37","启动靶场","C-08 · 智能编排调度中枢","c-08","container_addr: 10.0.179.144:7860"
"2026/8/21 05:25:53","得分成功","C-08 · 智能编排调度中枢","c-08","+100 点"
"2026/8/21 05:26:11","关闭靶场","C-08 · 智能编排调度中枢","c-08",""
"2026/8/21 05:26:27","启动靶场","A-03 · 资产管理系统","a-03","container_addr: 10.0.179.144:80"
"2026/8/21 05:45:34","关闭靶场","C-03 · 大模型业务集成门户","c-03",""
"2026/8/21 05:45:50","启动靶场","C-05 · 算法效果展示平台","c-05","container_addr: 10.0.179.146:7860"
"2026/8/21 05:56:33","关闭靶场","A-03 · 资产管理系统","a-03",""
"2026/8/21 05:56:49","启动靶场","A-13 · PyDash原型链污染","a-13","container_addr: 10.0.179.144:80"
"2026/8/21 06:16:07","关闭靶场","C-05 · 算法效果展示平台","c-05",""
"2026/8/21 06:16:22","启动靶场","A-18 · CloudFunc 平台","a-18","container_addr: 10.0.179.146:80"
"2026/8/21 06:16:41","关闭靶场","B-02 · Layer Breach","b-02",""
"2026/8/21 06:16:57","启动靶场","C-02 · 智算模型托管引擎","c-02","container_addr: 10.0.179.145:8188"
"2026/8/21 06:27:06","关闭靶场","A-13 · PyDash原型链污染","a-13",""
"2026/8/21 06:27:21","启动靶场","F2-05 · 嵌入式授权引擎","f2-05","container_addr: 10.0.179.144:9105"
